"SRX3830154_oral"	"SRX4318863_oral"	"SRX024173_human_gut"	"SRX024148_human_gut"	"ERR584333_labcontam"	"SRX024023_human_gut"	"SRX3830174_oral"	"SRX024200_oral"	"SRX023994_human_gut"	"ERR584348_labcontam"	"SRX4318860_oral"	"ERR584320_labcontam"	"SRS727524_human_skin"	"SRS728264_human_skin"	"SRX740589_human_skin"	"SRX3830184_oral"	"SRX740562_human_skin"	"SRX025192_oral"	"SRX3830126_oral"	"SRX740632_human_skin"	"SRX025193_oral"	"SRX101411_oral"	"SRX3830225_oral"	"SRX4318858_oral"	"ERR584341_labcontam"	"SRR5823608_soil"	"SRR5823606_soil"	"SRR5823609_soil"	"SRR5823611_soil"	"Unknown"
"RDC_6_H71_NA"	0.0691391876782208	0.0240384196368382	3.81582997574152e-14	0.0187271578435384	0.0273234063675133	2.68820039585443e-10	2.31958980946567e-05	0.0236011037528613	5.76160277303301e-25	1.16227984448473e-17	0.144252031329783	6.66025571742728e-06	1.83526298410528e-08	7.7269030564321e-16	0.00028129921268584	0.00514611956325073	1.58517743761324e-27	0.153480182194379	0.323959399733915	0.00681753802240662	1.46721616313405e-05	1.50227907414899e-13	1.07928152251125e-07	1.66986318950639e-18	0.0126500752715303	1.34191396275668e-17	0.0900034165804843	4.19668639705027e-20	0.0682779434312294	0.032258064516129
"RDC_6_S8_NA"	4.84490974937325e-06	0	0	0	3.182120864024e-44	0	9.75271802730068e-38	0.0281411168268708	0	0.0387293380492845	5.92593965029465e-63	1.47339713655815e-17	0.0663653387695299	0.152701440435046	0.0646648755343389	9.4285296150611e-28	1.12400710232519e-44	2.09934982554651e-26	6.72795473121194e-31	1.87947166212575e-11	2.36579646726966e-15	4.35707225313816e-13	0.0461438512192278	3.70298952224447e-55	6.72423430587161e-26	1.2378248839228e-37	0.165008664536168	0.0160115171349223	1.13931427449509e-17	0.42222901256563
"RDC_4_EB8_NA"	7.93742064401435e-07	2.65715020375761e-10	0	0	0.305291434268056	0	7.11380268606779e-11	1.45655112792556e-07	0	5.80520490287102e-11	1.34776843852886e-14	9.57494765974145e-08	1.35820573227081e-17	0	9.82338164380775e-07	1.68807810441694e-05	0	0.272601024204356	0.331067057186767	3.2018217393916e-07	0.000109446761368588	8.15668152216733e-07	1.91214054104872e-06	1.87128479453543e-11	7.12801098186065e-17	3.64813343641469e-17	0	1.0998545703448e-16	8.26976088861629e-18	0.0909090909090909
"RDC_5_H43_NA"	2.02050774760167e-06	2.88003591234625e-32	1.1080712776264e-17	5.20298474950462e-11	0.12158087424498	0.0333333333333333	0.110744320862762	0.16732368708559	1.29107773239105e-30	0.0751161875216169	9.54271430152496e-10	0	1.62613144429877e-22	0	6.23382564240834e-29	4.3822180134712e-17	0	0.0084873575617323	0.180104664577905	2.52041206125178e-12	1.05976790116992e-06	5.16772634542064e-09	0.184178544619032	0.000332823212806042	2.89803621375092e-20	6.4259203429396e-21	0.0521284538611911	5.51787255333145e-22	1.88374080025409e-13	0.0666666666666667
"RDC_3_H15_NA"	0.191124953884746	1.23225071842895e-111	0	0	0	0	0.0715671780971189	1.36393538942799e-292	0	0	1.02093495623055e-292	0	0.0450112257730831	0	0	3.38371433816199e-130	0	0.116156608573138	0.193622643395574	1.98520316698404e-196	2.62415536910219e-77	1.93853817693772e-53	0.000727117170348829	2.50539629741436e-107	0	1.83555915612748e-91	2.1947571597171e-70	0.0731449896296326	0.136231490372911	0.172413793103448
"RDC_6_LP_B12_NA"	0	0	0	0	0.0498338154500721	0	0.00417649474662484	0	0	0	0	0	0.361246829567323	0.00615412656412204	0	0.0290384244807275	0	0	0	0.0228252820510124	0	0.00297384882254322	0.0533404167520062	0	0	0.105151697117383	0.0145450125043499	0.336089351604445	0.0146247003393914	0
"RDC_3_S4_NA"	0.22537297776542	0	0	0	0.0181019070465752	0	1.35847379548099e-102	8.8847639286683e-275	0	1.6829654484037e-61	0	1.92112414782434e-140	0.0538142043109691	3.18669920178494e-45	3.61114672146948e-262	1.13380569237831e-210	1.41425880273951e-107	9.34431891517767e-186	5.0224251008476e-195	0	3.49874196826506e-189	9.00630977651162e-10	0.0817274779120497	0	6.31786204728122e-230	8.60955487782703e-100	0.164755101883323	0.120588890767875	0.0629121666858841	0.272727272727273
"RDC_5_H46_NA"	0.116336894576673	1.69127333148756e-35	3.51868977413334e-05	2.04363954738803e-46	3.67982566640165e-16	7.79229162803885e-21	1.40331854093576e-36	4.64507132111627e-12	1.92006835679492e-46	2.48904509401192e-22	7.99640754868662e-26	2.20260087619174e-12	0.453572666842934	6.92793481635976e-65	0.0287086835087579	6.4512006211613e-34	5.07810365287942e-37	4.96652737334562e-14	8.4220586007031e-118	0.00241873363267706	1.19047902532694e-18	1.44050528912577e-11	0.108896308674344	1.3139637384495e-31	0.0426331706643729	3.80317944454818e-69	0.118366097116681	2.51525767000115e-23	3.02431060806809e-47	0.129032258064516
"RDC_4_H30_NA"	0.0432140636743232	0.116316004075495	4.00030688744497e-59	0	2.86809486009737e-64	0	0.000146791942762967	0.263450015831029	0	2.99119591287865e-103	3.3138422071338e-05	3.44057801123417e-13	8.29435731844468e-65	1.32792635106364e-83	1.27317257417223e-14	9.717812153779e-05	1.64192602214375e-49	0.238210298057921	1.00594235555579e-31	2.12600537836528e-11	0.0314772083698545	0.114982941005828	1.5480175576543e-32	2.15495573812353e-12	1.34009710561081e-13	0.0728996172828195	0.0878954804851127	1.05840856266915e-19	2.72627073388948e-05	0.03125
"RDC_4_H40_NA"	5.0245911254949e-07	0.0339132463989457	0.0129049058016472	9.68415846661733e-06	1.06733856144075e-05	0	0.00592398865647286	0.000574451326633022	0	9.66674778280458e-13	5.37280888463289e-06	5.74961531179444e-07	0	1.01357531148159e-14	2.78612486677307e-06	0.00261624366340001	1.25518746065486e-15	0.471685327989911	0.0983703112988671	0.0119525664211043	0.0217778892702392	0.012506578437156	0.165570020173633	0.000225277880677833	0	0.0993203009069042	2.49586327554055e-14	4.42666656810761e-08	0.000129253608263772	0.0625
