,phylum,class,order,family,genus,species
2726954,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Sarcina,Sarcina sp. JB2
580596,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Butyricicoccus,NA
2633649,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Butyricicoccus,NA
2109686,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Butyricicoccus,Butyricicoccus sp. GAM44
2005464,Cyanobacteriota,Cyanophyceae,Nostocales,Scytonemataceae,Scytonema,Scytonema sp. NIES-4073
752201,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Sphaerospermopsis,NA
289435,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Sphaerospermopsis,Sphaerospermopsis kisseleviana
1892264,Cyanobacteriota,Cyanophyceae,Nostocales,Fortieaceae,NA,NA
212347,Cyanobacteriota,Cyanophyceae,Nostocales,Fortieaceae,Aulosira,NA
1541975,Cyanobacteriota,Cyanophyceae,Nostocales,Fortieaceae,Aulosira,Aulosira laxa
1892254,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,NA,NA
1158,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Oscillatoria,NA
482564,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria nigro-viridis
195248,Cyanobacteriota,Cyanophyceae,Chroococcales,Geminocystaceae,Picosynechococcus,Picosynechococcus sp. PCC 8807
32046,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus
1890431,Cyanobacteriota,Cyanophyceae,Gomontiellales,Chamaesiphonaceae,NA,NA
217161,Cyanobacteriota,Cyanophyceae,Gomontiellales,Chamaesiphonaceae,Chamaesiphon,NA
1173032,Cyanobacteriota,Cyanophyceae,Gomontiellales,Chamaesiphonaceae,Chamaesiphon,Chamaesiphon minutus
1356852,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter sp. APR13
2675878,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter sp. BRD128
1484118,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter sp. PAMC 26628
2714932,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter sp. HDW8
2319843,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter oligotrophus
388950,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter akesuensis
105,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Runella,NA
2631759,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Runella,NA
2259595,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Runella,Runella rosea
106,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Runella,Runella slithyformis
1501348,Bacteroidota,Cytophagia,Cytophagales,Amoebophilaceae,NA,NA
273135,Bacteroidota,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Cardinium,NA
2641185,Bacteroidota,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Cardinium,NA
672794,Bacteroidota,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Cardinium,Cardinium endosymbiont of Bemisia tabaci
171550,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA,NA
239759,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA
626932,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes indistinctus
1493872,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium shandongense
2608728,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidisarcina,NA
