taxon,lfc_.Intercept.,lfc_Isola.Sacra,lfc_Selvicciola,se_.Intercept.,se_Isola.Sacra,se_Selvicciola,W_.Intercept.,W_Isola.Sacra,W_Selvicciola,p_.Intercept.,p_Isola.Sacra,p_Selvicciola,q_.Intercept.,q_Isola.Sacra,q_Selvicciola,diff_.Intercept.,diff_Isola.Sacra,diff_Selvicciola,passed_ss_.Intercept.,passed_ss_Isola.Sacra,passed_ss_Selvicciola
GO:0006040: [BP] amino sugar metabolic process,-0.458299725340838,0.503733582982319,0.557198733421648,0.160451306957338,0.269791225091882,0.450862507191336,-2.85631656127733,1.86712367242768,1.23585067406189,0.00814660045179309,0.0727778256780303,0.227158771611278,0.028553836220533,0.335175065504301,0.844259309501794,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
GO:0006044: [BP] N-acetylglucosamine metabolic process,0.0818865616160755,0.0649089757205267,-0.0391057832379392,0.0951899959884378,0.166009194658321,0.2819656717345,0.860243356098279,0.390996268936319,-0.138689873123142,0.393844503245197,0.697494961468929,0.890263647264244,0.510193511312893,0.895530216487016,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0006047: [BP] UDP-N-acetylglucosamine metabolic process,-0.548248241829485,-0.393370807980241,1.3469665789397,0.156573516188286,0.222133087062247,0.555561676576149,-3.50153879900222,-1.77087895001436,2.42451312920083,0.00436946692391354,0.10195421131877,0.0320521851528281,0.0193673669059951,0.40781684527508,0.422524794660147,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
GO:0006048: [BP] UDP-N-acetylglucosamine biosynthetic process,0.120767506964339,-0.0221241196234971,-0.0257087572085648,0.0519767551858247,0.0831777434756551,0.237562613429841,2.32349069372601,-0.265986052266163,-0.108218868438056,0.024345333608481,0.791365968123025,0.914264008906755,0.063375154155411,0.93632609969014,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
GO:0006051: [BP] N-acetylmannosamine metabolic process,-0.206881040577873,0.207257370398801,0.252642796864348,0.134861319402825,0.163093989173552,0.338031597951829,-1.53402800368523,1.27078484896371,0.747394025869589,0.132348373757651,0.210637459963937,0.458893545331589,0.221933878284814,0.553040095956682,0.949211149736166,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0006064: [BP] glucuronate catabolic process,-0.354388325087802,0.0371834685880744,0.481181116860851,0.121171323342374,0.211698896450968,0.406959420235212,-2.92468808058211,0.175643185729532,1.18238107520091,0.00593320082213092,0.861558534222269,0.244805340025982,0.0232785869576428,0.949567201696587,0.84685417614813,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
GO:0006066: [BP] alcohol metabolic process,-0.290554271296362,0.0813011173633275,0.267436435648235,0.146919004267929,0.194753109965191,0.312529583620609,-1.97764933640914,0.417457350888306,0.85571558554561,0.0548869147655335,0.678576207136683,0.397252138559959,0.116297855575549,0.884337404711821,0.922795336031632,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0006069: [BP] ethanol oxidation,-0.292970413294341,0.152256329116273,0.424530070233947,0.186374280216694,0.26489159602628,0.373025708867512,-1.57194658487056,0.574787314510225,1.13807188121913,0.125502933025356,0.56933338430694,0.26328587076387,0.212628936117339,0.842887102904413,0.870541992041827,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GO:0006071: [BP] glycerol metabolic process,0.0659555719974972,0.0972675495933221,-0.028744645794143,0.104847734708982,0.163377946475419,0.183517793663601,0.629060534121838,0.595352994034336,-0.15663138282293,0.532231319698438,0.554347380824819,0.876178952076603,0.646562492078102,0.836720449516186,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0006072: [BP] glycerol-3-phosphate metabolic process,0.232461272385675,-0.294206298978063,-0.331989472880533,0.0565566513565917,0.125153963143134,0.298890789132056,4.11023755490752,-2.35075495485181,-1.11073838656785,0.000153527958491825,0.0228913182687131,0.272214135477858,0.00237341096194294,0.19545940057944,0.882275063604126,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
